B1,B2,B3,B4,B5,SB,fecha_sorteo,tipo_sorteo,numero_sorteo
19,23,33,34,40,5,2022-03-26 00:00:00,baloto,2175
22,29,30,33,40,3,2022-03-30 00:00:00,revancha,2176
4,6,16,36,37,14,2022-03-30 00:00:00,baloto,2176
13,28,33,37,43,14,2022-04-02 00:00:00,revancha,2177
3,7,8,18,38,7,2022-04-02 00:00:00,baloto,2177
4,14,28,32,35,15,2022-04-06 00:00:00,revancha,2178
11,24,33,42,43,15,2022-04-06 00:00:00,baloto,2178
1,15,27,30,43,3,2022-04-09 00:00:00,revancha,2179
20,27,31,34,41,9,2022-04-09 00:00:00,baloto,2179
7,10,13,28,31,2,2022-04-13 00:00:00,revancha,2180
7,9,16,23,28,12,2022-04-13 00:00:00,baloto,2180
13,14,27,28,39,13,2022-04-16 00:00:00,revancha,2181
1,5,8,17,30,15,2022-04-16 00:00:00,baloto,2181
5,12,18,32,36,12,2022-04-20 00:00:00,revancha,2182
13,16,35,38,42,3,2022-04-20 00:00:00,baloto,2182
3,23,29,30,38,3,2022-04-23 00:00:00,revancha,2183
6,16,28,39,40,2,2022-04-23 00:00:00,baloto,2183
6,7,15,17,31,12,2022-04-27 00:00:00,revancha,2184
4,9,20,25,43,14,2022-04-27 00:00:00,baloto,2184
12,19,24,34,35,10,2022-04-30 00:00:00,revancha,2185
3,5,10,30,40,8,2022-04-30 00:00:00,baloto,2185
3,10,11,19,41,15,2022-05-04 00:00:00,revancha,2186
14,27,34,38,40,14,2022-05-04 00:00:00,baloto,2186
2,6,11,19,22,16,2022-05-07 00:00:00,revancha,2187
4,18,30,41,43,11,2022-05-07 00:00:00,baloto,2187
5,11,22,23,24,15,2022-05-11 00:00:00,revancha,2188
21,26,27,30,31,2,2022-05-11 00:00:00,baloto,2188
4,12,14,28,38,10,2022-05-14 00:00:00,revancha,2189
5,7,20,26,33,14,2022-05-14 00:00:00,baloto,2189
22,23,28,32,38,5,2022-05-18 00:00:00,revancha,2190
15,20,27,38,42,3,2022-05-18 00:00:00,baloto,2190
23,26,27,31,42,4,2022-05-21 00:00:00,revancha,2191
13,19,21,25,36,12,2022-05-21 00:00:00,baloto,2191
1,8,21,28,36,5,2022-05-25 00:00:00,revancha,2192
5,10,14,37,40,6,2022-05-25 00:00:00,baloto,2192
6,29,33,40,42,12,2022-05-28 00:00:00,revancha,2193
6,20,25,29,41,4,2022-05-28 00:00:00,baloto,2193
10,17,18,25,28,16,2022-06-01 00:00:00,revancha,2194
13,17,25,26,35,4,2022-06-01 00:00:00,baloto,2194
3,7,10,26,31,8,2022-06-04 00:00:00,revancha,2195
20,24,32,35,37,5,2022-06-04 00:00:00,baloto,2195
12,22,28,42,43,9,2022-06-08 00:00:00,revancha,2196
5,6,17,22,31,10,2022-06-08 00:00:00,baloto,2196
1,6,16,31,37,13,2022-06-11 00:00:00,revancha,2197
22,24,28,31,43,4,2022-06-11 00:00:00,baloto,2197
14,16,27,34,41,14,2022-06-15 00:00:00,revancha,2198
1,7,12,32,43,1,2022-06-15 00:00:00,baloto,2198
3,7,15,19,43,1,2022-06-18 00:00:00,revancha,2199
1,14,18,19,26,10,2022-06-18 00:00:00,baloto,2199
5,14,20,30,31,8,2022-06-22 00:00:00,revancha,2200
16,28,30,32,39,11,2022-06-22 00:00:00,baloto,2200
2,10,15,22,25,3,2022-06-25 00:00:00,revancha,2201
7,9,14,28,39,9,2022-06-25 00:00:00,baloto,2201
8,11,12,29,41,14,2022-06-29 00:00:00,revancha,2202
9,24,29,30,32,14,2022-06-29 00:00:00,baloto,2202
2,9,16,31,34,5,2022-07-02 00:00:00,revancha,2203
7,8,11,12,38,5,2022-07-02 00:00:00,baloto,2203
22,31,35,40,42,2,2022-07-06 00:00:00,revancha,2204
1,8,12,13,42,5,2022-07-06 00:00:00,baloto,2204
4,15,27,30,35,7,2022-07-09 00:00:00,revancha,2205
1,8,21,29,35,6,2022-07-09 00:00:00,baloto,2205
6,12,13,15,38,16,2022-07-13 00:00:00,revancha,2206
16,23,31,39,43,9,2022-07-13 00:00:00,baloto,2206
3,4,6,18,36,15,2022-07-16 00:00:00,revancha,2207
7,9,11,28,34,5,2022-07-16 00:00:00,baloto,2207
7,8,13,18,37,12,2022-07-20 00:00:00,revancha,2208
3,11,29,39,40,13,2022-07-20 00:00:00,baloto,2208
20,30,31,33,39,10,2022-07-23 00:00:00,revancha,2209
2,8,11,19,26,6,2022-07-23 00:00:00,baloto,2209
7,9,10,11,29,13,2022-07-27 00:00:00,revancha,2210
2,20,26,30,43,11,2022-07-27 00:00:00,baloto,2210
16,17,22,26,36,15,2022-07-30 00:00:00,revancha,2211
4,14,19,25,31,15,2022-07-30 00:00:00,baloto,2211
6,28,33,34,38,12,2022-08-03 00:00:00,revancha,2212
6,8,13,32,43,15,2022-08-03 00:00:00,baloto,2212
4,8,17,39,40,14,2022-08-06 00:00:00,revancha,2213
6,13,33,35,41,11,2022-08-06 00:00:00,baloto,2213
13,14,15,33,40,16,2022-08-10 00:00:00,revancha,2214
1,14,15,22,36,11,2022-08-10 00:00:00,baloto,2214
1,8,10,22,25,4,2022-08-13 00:00:00,revancha,2215
5,6,18,19,24,9,2022-08-13 00:00:00,baloto,2215
3,7,20,31,35,7,2022-08-17 00:00:00,revancha,2216
3,8,15,22,33,13,2022-08-17 00:00:00,baloto,2216
1,6,34,37,39,4,2022-08-20 00:00:00,revancha,2217
12,14,15,20,43,10,2022-08-20 00:00:00,baloto,2217
2,6,24,32,40,5,2022-08-24 00:00:00,revancha,2218
14,18,21,26,36,7,2022-08-24 00:00:00,baloto,2218
1,26,27,35,43,11,2022-08-27 00:00:00,revancha,2219
1,13,16,22,25,8,2022-08-27 00:00:00,baloto,2219
4,12,17,19,42,14,2022-08-31 00:00:00,revancha,2220
15,16,26,34,39,6,2022-08-31 00:00:00,baloto,2220
4,9,26,33,41,3,2022-09-03 00:00:00,revancha,2221
2,5,23,27,36,12,2022-09-03 00:00:00,baloto,2221
1,12,15,22,33,16,2022-09-07 00:00:00,revancha,2222
14,15,17,23,39,6,2022-09-07 00:00:00,baloto,2222
12,18,32,34,43,4,2022-09-10 00:00:00,revancha,2223
3,9,10,19,35,8,2022-09-10 00:00:00,baloto,2223
6,8,20,34,41,8,2022-09-14 00:00:00,revancha,2224
7,13,19,32,42,7,2022-09-14 00:00:00,baloto,2224
9,10,18,29,32,4,2022-09-17 00:00:00,revancha,2225
3,25,30,33,34,1,2022-09-17 00:00:00,baloto,2225
3,6,7,26,42,11,2022-09-21 00:00:00,revancha,2226
2,4,20,21,35,3,2022-09-21 00:00:00,baloto,2226
11,16,32,34,37,5,2022-09-24 00:00:00,revancha,2227
5,8,19,30,33,1,2022-09-24 00:00:00,baloto,2227
6,17,36,37,38,11,2022-09-28 00:00:00,revancha,2228
2,4,12,21,33,2,2022-09-28 00:00:00,baloto,2228
3,5,15,22,42,2,2022-10-01 00:00:00,revancha,2229
3,5,28,37,42,15,2022-10-01 00:00:00,baloto,2229
5,16,23,34,43,16,2022-10-05 00:00:00,revancha,2230
1,3,8,31,35,16,2022-10-05 00:00:00,baloto,2230
10,17,31,36,41,14,2022-10-08 00:00:00,revancha,2231
1,3,15,19,29,13,2022-10-08 00:00:00,baloto,2231
12,24,33,34,36,3,2022-10-12 00:00:00,revancha,2232
12,21,25,37,41,3,2022-10-12 00:00:00,baloto,2232
3,14,35,36,37,8,2022-10-15 00:00:00,revancha,2233
9,21,24,39,40,12,2022-10-15 00:00:00,baloto,2233
1,7,20,36,39,14,2022-10-19 00:00:00,revancha,2234
5,8,20,24,37,4,2022-10-19 00:00:00,baloto,2234
2,5,14,30,36,12,2022-10-22 00:00:00,revancha,2235
2,4,6,9,25,13,2022-10-22 00:00:00,baloto,2235
18,32,33,40,41,10,2022-10-26 00:00:00,revancha,2236
9,12,16,17,21,14,2022-10-26 00:00:00,baloto,2236
5,9,11,20,30,4,2022-10-29 00:00:00,revancha,2237
2,10,13,32,42,1,2022-10-29 00:00:00,baloto,2237
5,15,19,33,43,8,2022-11-02 00:00:00,revancha,2238
20,28,30,31,36,8,2022-11-02 00:00:00,baloto,2238
1,8,17,20,30,9,2022-11-05 00:00:00,revancha,2239
4,19,22,36,43,10,2022-11-05 00:00:00,baloto,2239
2,7,12,26,43,4,2022-11-09 00:00:00,revancha,2240
5,14,17,31,34,3,2022-11-09 00:00:00,baloto,2240
6,21,26,39,41,15,2022-11-12 00:00:00,revancha,2241
10,11,25,27,33,16,2022-11-12 00:00:00,baloto,2241
5,9,16,25,26,10,2022-11-16 00:00:00,revancha,2242
7,9,17,38,39,9,2022-11-16 00:00:00,baloto,2242
4,24,25,26,43,3,2022-11-19 00:00:00,revancha,2243
23,26,27,33,37,3,2022-11-19 00:00:00,baloto,2243
6,11,18,28,43,4,2022-11-23 00:00:00,revancha,2244
5,9,13,22,43,12,2022-11-23 00:00:00,baloto,2244
8,20,21,29,38,11,2022-11-26 00:00:00,revancha,2245
4,9,30,31,34,16,2022-11-26 00:00:00,baloto,2245
6,12,15,16,35,3,2022-11-30 00:00:00,revancha,2246
14,16,33,38,41,10,2022-11-30 00:00:00,baloto,2246
5,11,12,13,34,3,2022-12-03 00:00:00,revancha,2247
14,19,21,32,33,1,2022-12-03 00:00:00,baloto,2247
5,17,21,24,28,10,2022-12-07 00:00:00,revancha,2248
11,14,28,29,32,3,2022-12-07 00:00:00,baloto,2248
4,7,21,22,36,10,2022-12-10 00:00:00,revancha,2249
6,9,28,35,41,7,2022-12-10 00:00:00,baloto,2249
14,18,24,36,42,2,2022-12-14 00:00:00,revancha,2250
2,15,23,33,43,4,2022-12-14 00:00:00,baloto,2250
21,26,34,37,42,16,2022-12-17 00:00:00,revancha,2251
1,10,12,39,40,14,2022-12-17 00:00:00,baloto,2251
31,33,37,40,41,16,2022-12-21 00:00:00,revancha,2252
24,27,30,31,39,12,2022-12-21 00:00:00,baloto,2252
16,26,27,36,42,11,2022-12-24 00:00:00,revancha,2253
7,9,23,37,40,14,2022-12-24 00:00:00,baloto,2253
1,4,9,23,24,13,2022-12-28 00:00:00,revancha,2254
2,8,17,20,25,7,2022-12-28 00:00:00,baloto,2254
14,25,32,33,39,12,2022-12-31 00:00:00,revancha,2255
3,11,27,31,32,12,2022-12-31 00:00:00,baloto,2255
1,12,14,32,33,8,2023-01-04 00:00:00,revancha,2256
12,32,36,37,42,11,2023-01-04 00:00:00,baloto,2256
11,17,33,34,40,9,2023-01-07 00:00:00,revancha,2257
17,25,32,33,40,3,2023-01-07 00:00:00,baloto,2257
17,21,22,27,29,9,2023-01-11 00:00:00,revancha,2258
2,17,24,37,42,11,2023-01-11 00:00:00,baloto,2258
