B1,B2,B3,B4,B5,SB,fecha_sorteo,tipo_sorteo,numero_sorteo
9,21,24,39,40,12,2022-10-15 00:00:00,baloto,2233
5,8,20,24,37,4,2022-10-19 00:00:00,baloto,2234
2,4,6,9,25,13,2022-10-22 00:00:00,baloto,2235
9,12,16,17,21,14,2022-10-26 00:00:00,baloto,2236
2,10,13,32,42,1,2022-10-29 00:00:00,baloto,2237
20,28,30,31,36,8,2022-11-02 00:00:00,baloto,2238
4,19,22,36,43,10,2022-11-05 00:00:00,baloto,2239
5,14,17,31,34,3,2022-11-09 00:00:00,baloto,2240
10,11,25,27,33,16,2022-11-12 00:00:00,baloto,2241
7,9,17,38,39,9,2022-11-16 00:00:00,baloto,2242
23,26,27,33,37,3,2022-11-19 00:00:00,baloto,2243
5,9,13,22,43,12,2022-11-23 00:00:00,baloto,2244
4,9,30,31,34,16,2022-11-26 00:00:00,baloto,2245
14,16,33,38,41,10,2022-11-30 00:00:00,baloto,2246
14,19,21,32,33,1,2022-12-03 00:00:00,baloto,2247
11,14,28,29,32,3,2022-12-07 00:00:00,baloto,2248
6,9,28,35,41,7,2022-12-10 00:00:00,baloto,2249
2,15,23,33,43,4,2022-12-14 00:00:00,baloto,2250
1,10,12,39,40,14,2022-12-17 00:00:00,baloto,2251
24,27,30,31,39,12,2022-12-21 00:00:00,baloto,2252
7,9,23,37,40,14,2022-12-24 00:00:00,baloto,2253
2,8,17,20,25,7,2022-12-28 00:00:00,baloto,2254
3,11,27,31,32,12,2022-12-31 00:00:00,baloto,2255
12,32,36,37,42,11,2023-01-04 00:00:00,baloto,2256
17,25,32,33,40,3,2023-01-07 00:00:00,baloto,2257
2,17,24,37,42,11,2023-01-11 00:00:00,baloto,2258
2,23,25,33,34,10,2023-01-14 00:00:00,baloto,2259
10,29,30,32,36,4,2023-01-18 00:00:00,baloto,2260
2,7,12,21,37,9,2023-01-21 00:00:00,baloto,2261
5,7,10,22,31,12,2023-01-25 00:00:00,baloto,2262
2,14,15,28,40,5,2023-01-28 00:00:00,baloto,2263
8,12,16,26,39,6,2023-02-01 00:00:00,baloto,2264
1,10,14,32,39,10,2023-02-04 00:00:00,baloto,2265
3,8,12,13,43,7,2023-02-08 00:00:00,baloto,2266
8,11,17,29,42,13,2023-02-11 00:00:00,baloto,2267
